1,Time,Displacement,Force
,(s),(mm),(kN)
,0,0,0
,0.1,0.0022,0
,0.2,0.014,0
,0.3,0.025,0
,0.4,0.0349,0.0001
,0.5,0.0449,0.0001
,0.6,0.0549,0.0001
,0.7,0.065,0.0001
,0.8,0.075,0.0001
,0.9,0.085,0.0001
,1,0.0949,0.0001
,1.1,0.1048,0.0001
,1.2,0.1151,0.0001
,1.3,0.125,0.0001
,1.4,0.135,0.0001
,1.5,0.1447,0.0002
,1.6,0.1552,0.0002
,1.7,0.165,0.0002
,1.8,0.1748,0.0002
,1.9,0.1849,0.0002
,2,0.1951,0.0002
,2.1,0.2051,0.0002
,2.2,0.2147,0.0002
,2.3,0.225,0.0003
,2.4,0.2351,0.0003
,2.5,0.245,0.0003
,2.6,0.2548,0.0003
,2.7,0.265,0.0003
,2.8,0.2751,0.0003
,2.9,0.2849,0.0003
,3,0.2949,0.0004
,3.1,0.3049,0.0004
,3.2,0.315,0.0004
,3.3,0.3249,0.0004
,3.4,0.3351,0.0004
,3.5,0.345,0.0004
,3.6,0.3548,0.0004
,3.7,0.3652,0.0005
,3.8,0.375,0.0005
,3.9,0.3849,0.0005
,4,0.3947,0.0005
,4.1,0.4052,0.0005
,4.2,0.415,0.0005
,4.3,0.4249,0.0005
,4.4,0.4349,0.0006
,4.5,0.4452,0.0005
,4.6,0.4551,0.0005
,4.7,0.4646,0.0006
,4.8,0.4749,0.0006
,4.9,0.4851,0.0006
,5,0.495,0.0006
,5.1,0.5048,0.0006
,5.2,0.515,0.0006
,5.3,0.5252,0.0006
,5.4,0.5348,0.0007
,5.5,0.5449,0.0007
,5.6,0.555,0.0007
,5.7,0.565,0.0007
,5.8,0.5749,0.0007
,5.9,0.5851,0.0007
,6,0.5951,0.0008
,6.1,0.6048,0.0008
,6.2,0.6151,0.0008
,6.3,0.625,0.0008
,6.4,0.635,0.0008
,6.5,0.6447,0.0008
,6.6,0.6551,0.0009
,6.7,0.6651,0.0009
,6.8,0.6748,0.0009
,6.9,0.6849,0.0009
,7,0.6951,0.0009
,7.1,0.7051,0.0009
,7.2,0.7147,0.0009
,7.3,0.725,0.001
,7.4,0.7351,0.0009
,7.5,0.745,0.001
,7.6,0.7548,0.001
,7.7,0.765,0.001
,7.8,0.7751,0.001
,7.9,0.7849,0.001
,8,0.7949,0.0011
,8.1,0.805,0.0011
,8.2,0.815,0.0011
,8.3,0.8249,0.0011
,8.4,0.835,0.0011
,8.5,0.845,0.0012
,8.6,0.8549,0.0012
,8.7,0.8651,0.0012
,8.8,0.875,0.0012
,8.9,0.8849,0.0013
,9,0.8947,0.0013
,9.1,0.9051,0.0013
,9.2,0.9151,0.0013
,9.3,0.9248,0.0013
,9.4,0.935,0.0013
,9.5,0.9451,0.0014
,9.6,0.9551,0.0014
,9.7,0.9647,0.0014
,9.8,0.975,0.0014
,9.9,0.9851,0.0014
,10,0.9951,0.0014
,10.054,1.0001,0.0015
,10.055,1.0002,0.0015
,10.056,1.0003,0.0015
,10.156,1.0009,0.0014
,10.256,0.994,0.0014
,10.356,0.9813,0.0014
,10.456,0.9709,0.0013
,10.556,0.961,0.0013
,10.656,0.951,0.0013
,10.756,0.9408,0.0012
,10.856,0.9308,0.0012
,10.956,0.9212,0.0012
,11.056,0.9109,0.0012
,11.156,0.9007,0.0011
,11.256,0.8909,0.0011
,11.356,0.8812,0.0011
,11.456,0.8709,0.0011
,11.556,0.8608,0.001
,11.656,0.8509,0.001
,11.756,0.841,0.001
,11.856,0.8309,0.001
,11.956,0.8208,0.001
,12.056,0.811,0.0009
,12.156,0.8009,0.0009
,12.256,0.7908,0.0009
,12.356,0.7808,0.0009
,12.456,0.7709,0.0009
,12.556,0.761,0.0009
,12.656,0.7509,0.0009
,12.756,0.7411,0.0008
,12.856,0.7307,0.0008
,12.956,0.7208,0.0008
,13.056,0.7109,0.0008
,13.156,0.701,0.0008
,13.256,0.6908,0.0007
,13.356,0.6809,0.0007
,13.456,0.6711,0.0007
,13.556,0.6609,0.0007
,13.656,0.6508,0.0007
,13.756,0.6408,0.0007
,13.856,0.6312,0.0007
,13.956,0.6209,0.0006
,14.056,0.6107,0.0006
,14.156,0.601,0.0006
,14.256,0.591,0.0006
,14.356,0.5809,0.0006
,14.456,0.5707,0.0006
,14.556,0.5609,0.0006
,14.656,0.5509,0.0005
,14.756,0.5409,0.0005
,14.856,0.5309,0.0005
,14.956,0.5209,0.0005
,15.056,0.5109,0.0005
,15.156,0.5009,0.0005
,15.256,0.4911,0.0005
,15.356,0.4807,0.0004
,15.456,0.4709,0.0004
,15.556,0.461,0.0004
,15.656,0.4511,0.0004
,15.756,0.4407,0.0004
